latitude,longitude,address,shopname
13.06118333,77.58725,"570, Opposite Cauvery School, 80 Feet Road, Sahakara Nagar, Bangalore India",Barista Expresso Bar and Restaurant
13.06118333,77.58725,"570, Opposite Cauvery School, 80 Feet Road, Sahakara Nagar, Bangalore India",Barista Expresso Bar and Restaurant
13.021749,77.639693,"HRBR Layout Kalyan Nagar 2 Block, Kalyan Nagar,Bengaluru, Karnataka 560043",Barista Lavazza
12.96220556,77.59924444,"4/4, Shaughnessy Road, Opposite Divyashree Chambers, Langford Town, Shanti Nagar, Bangalore India",Barista Lavazza Espresso Bar
12.94031,77.605137,"12/112/213/1A, Divyashree Green, Koramangla Ring Road, Koramangala, Bangalore India",Barista Lavazza Espresso Bar
12.93385,77.62114,"145, Next to William Penn, 1st Cross, 5th Block, Koramangala, Bangalore India",Barista Lavazza Espresso Bar
12.9434386,77.621879,"982, Kalinga Institute, 80 Feet Peripheral Road, 4th Block, Koramangala, Bangalore India",Barista Lavazza Espresso Bar
12.876028,77.595531,"Ground Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore India",Barista Lavazza Espresso Bar
12.97951111,77.657875,"8, Ground Floor, Retail Mall Block, Bagmane Tech Park, CV Raman Nagar, Bangalore India",Barista Lavazza Espresso Bar
13.041525,77.62211,"Manyata Embassy Tech Park, ESC Food Court, Outer Ring Road, Nagawara, Bangalore India",Barista Lavazza Espresso Bar
13.00368611,77.58316667,"371/5, 8th Main Road, Upper Palace, Orchard Extention, Sadashiv Nagar, Bangalore India",Barista Lavazza Espresso Bar
12.998168,77.615103,"94, Mosque Road, Frazer Town, Bangalore India",Barista Lavazza Espresso Bar
12.968623,77.725775,"Accenture Service Pvt. Ltd, Divyasree Techno Park Sez 36/2, Whitefield, Bangalore India",Barista Lavazza Espresso Bar
12.96474167,77.53889444,"5th Main Road, Opposite Sankashta Ganapathi Temple, RPC Layout, Vijay Nagar, Bangalore India",By 2 Coffee
12.94204722,77.57053333,"22/1, Police Station Road, Basavanagudi, Bangalore India",By 2 Coffee
12.99999167,77.56955833,"5/1,Malleswaram Circle Link Road, TR Layout, Malleshwaram, Bangalore India",By 2 Coffee
12.97566667,77.60516667,"84, Ground Floor, Barton Centre, MG Road, Bangalore India",Cafe Coffee Day
12.965225,77.60122778,"89, Next To Baldwin Girls High School, Richmond Road, Bangalore India",Cafe Coffee Day
12.958816,77.55366,"67th Km Bangalore, Mysore Highway, Mudugere, Mysore Road, Bangalore India",Cafe Coffee Day
12.95015092,77.56785393,"1, SPC Complex, Bull Temple Road, Opposite BSNL Office, Gandhi Bazaar, Basavanagudi, Bangalore India",Cafe Coffee Day
12.93416667,77.611,"Ground Floor, Forum Mall, Hosur Road, Koramangala, Bangalore India",Cafe Coffee Day
12.934752,77.612748,"121, Ground Floor, Money Centre, 7th Block, Koramangala, Bangalore India",Cafe Coffee Day
12.925821,77.675174,"Bangalore Central Mall, Bellandur, Bangalore India",Cafe Coffee Day
12.923409,77.670767,"Salarpuria Softzone, Outer Ring Road, Bellandur, Bangalore India",Cafe Coffee Day
12.92578611,77.56429167,"1431, 22nd Cross, 2nd Stage, Banashankari, Bangalore India",Cafe Coffee Day
